HITId	HITTypeId	Title	Description	Keywords	Reward	CreationTime	MaxAssignments	RequesterAnnotation	AssignmentDurationInSeconds	AutoApprovalDelayInSeconds	Expiration	NumberOfSimilarHITs	LifetimeInSeconds	AssignmentId	WorkerId	AssignmentStatus	AcceptTime	SubmitTime	AutoApprovalTime	ApprovalTime	RejectionTime	RequesterFeedback	WorkTimeInSeconds	LifetimeApprovalRate	Last30DaysApprovalRate	Last7DaysApprovalRate	Input_globalindex	Input_lemma	Input_lemmaindex	Input_lleftcontext	Input_lheadword	Input_lrightcontext	Input_gs_expert	Answer_Category	Approve	Reject
29BMOFXRDS4IZS1XV2OJJM12LCAWT2	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			28XPQJQ9OPLLK3UT46OGCKCPC7J1Z6	A1LRRDBA84ITCJ	Approved	Mon Apr 23 15:18:35 GMT 2012	Mon Apr 23 15:18:39 GMT 2012	Sat Apr 28 08:18:39 PDT 2012	Tue Apr 24 08:04:50 PDT 2012			4	100% (966/966)	100% (463/463)	0% (0/0)	195	dish	24	Talavera pottery and	dishes	&#44 as well as blown-glass stemware in a rainbow of colors&#44are readily found throughout the Pacific coastal region .	CONTAINER	Category1		
29BMOFXRDS4IZS1XV2OJJM12LCAWT2	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			2LDYHVI44OS27CH7V25ZWBAQIXVY4V	A11GFH66WMVKMB	Approved	Mon Apr 23 16:08:19 GMT 2012	Mon Apr 23 16:10:37 GMT 2012	Sat Apr 28 09:10:37 PDT 2012	Tue Apr 24 08:04:50 PDT 2012			138	100% (896/896)	100% (896/896)	0% (0/0)	195	dish	24	Talavera pottery and	dishes	&#44 as well as blown-glass stemware in a rainbow of colors&#44are readily found throughout the Pacific coastal region .	CONTAINER	Category1		
29BMOFXRDS4IZS1XV2OJJM12LCAWT2	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			2ME6IAA2SEIUHLNZ65BKE4IJ5UGNNJ	A2HM35CWB7IIFM	Approved	Mon Apr 23 15:23:08 GMT 2012	Mon Apr 23 15:23:12 GMT 2012	Sat Apr 28 08:23:12 PDT 2012	Tue Apr 24 08:04:50 PDT 2012			4	100% (511/511)	100% (511/511)	0% (0/0)	195	dish	24	Talavera pottery and	dishes	&#44 as well as blown-glass stemware in a rainbow of colors&#44are readily found throughout the Pacific coastal region .	CONTAINER	Category1		
29BMOFXRDS4IZS1XV2OJJM12LCAWT2	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			2QHGSNTL0XULE7ASTYUMQDX6SB30MT	A1IV0802ICNA0A	Approved	Mon Apr 23 16:15:12 GMT 2012	Mon Apr 23 16:15:22 GMT 2012	Sat Apr 28 09:15:22 PDT 2012	Tue Apr 24 08:04:50 PDT 2012			10	100% (253/253)	100% (253/253)	0% (0/0)	195	dish	24	Talavera pottery and	dishes	&#44 as well as blown-glass stemware in a rainbow of colors&#44are readily found throughout the Pacific coastal region .	CONTAINER	Category1		
29BMOFXRDS4IZS1XV2OJJM12LCAWT2	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			2REVHVKCJ0117TU31M0KUW62L9086E	AZG4GSFQRVYMQ	Approved	Mon Apr 23 16:26:12 GMT 2012	Mon Apr 23 16:26:17 GMT 2012	Sat Apr 28 09:26:17 PDT 2012	Tue Apr 24 08:04:50 PDT 2012			5	100% (346/346)	100% (346/346)	0% (0/0)	195	dish	24	Talavera pottery and	dishes	&#44 as well as blown-glass stemware in a rainbow of colors&#44are readily found throughout the Pacific coastal region .	CONTAINER	Category1		
2BZYW2GTP9RAUJSV4GX92SOGIABOTI	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			259VKCJ011K2UV66RZHWA18OHSSA88	AZG4GSFQRVYMQ	Approved	Mon Apr 23 16:35:44 GMT 2012	Mon Apr 23 16:35:51 GMT 2012	Sat Apr 28 09:35:51 PDT 2012	Tue Apr 24 08:04:51 PDT 2012			7	100% (346/346)	100% (346/346)	0% (0/0)	196	glass	24	? And would a corkscrew and proper	glasses	be pushing it ?	CONTAINER	Category1		
2BZYW2GTP9RAUJSV4GX92SOGIABOTI	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			2R9RRLFQ0ONNII402WF9IGRCKS3RIN	A11GFH66WMVKMB	Approved	Mon Apr 23 14:14:08 GMT 2012	Mon Apr 23 14:15:32 GMT 2012	Sat Apr 28 07:15:32 PDT 2012	Tue Apr 24 08:04:51 PDT 2012			84	100% (896/896)	100% (896/896)	0% (0/0)	196	glass	24	? And would a corkscrew and proper	glasses	be pushing it ?	CONTAINER	Category1		
2BZYW2GTP9RAUJSV4GX92SOGIABOTI	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			2THPSI2KYEPLFGU420D60J3PN3FMSV	A1LRRDBA84ITCJ	Approved	Mon Apr 23 15:24:35 GMT 2012	Mon Apr 23 15:24:40 GMT 2012	Sat Apr 28 08:24:40 PDT 2012	Tue Apr 24 08:04:51 PDT 2012			5	100% (966/966)	100% (463/463)	0% (0/0)	196	glass	24	? And would a corkscrew and proper	glasses	be pushing it ?	CONTAINER	Category1		
2BZYW2GTP9RAUJSV4GX92SOGIABOTI	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			2V0I9NZW6HEZTF138BYTC69H78ONX1	A6WUFL0T08JBZ	Approved	Mon Apr 23 15:04:12 GMT 2012	Mon Apr 23 15:04:15 GMT 2012	Sat Apr 28 08:04:15 PDT 2012	Tue Apr 24 08:04:51 PDT 2012			3	100% (263/263)	100% (263/263)	0% (0/0)	196	glass	24	? And would a corkscrew and proper	glasses	be pushing it ?	CONTAINER	Category1		
2BZYW2GTP9RAUJSV4GX92SOGIABOTI	2FN98JHSTLB38R2A1O9OFJEJRTLRFS	Container or content	Recognize whether the name of an object, like for instance cup, means "the physical object cup" or "what is inside the cup"	categorization, named entity recognition, regular polysemy, container, content, word sense disambiguation	$0.07	Mon Apr 23 13:46:44 GMT 2012	5	Department:Other	21600	432000	Mon Apr 30 13:46:44 GMT 2012			2WFCWYB49F9SFJ4WJGAORST6UR2PTH	A2HM35CWB7IIFM	Approved	Mon Apr 23 15:10:54 GMT 2012	Mon Apr 23 15:10:59 GMT 2012	Sat Apr 28 08:10:59 PDT 2012	Tue Apr 24 08:04:51 PDT 2012			5	100% (511/511)	100% (511/511)	0% (0/0)	196	glass	24	? And would a corkscrew and proper	glasses	be pushing it ?	CONTAINER	Category1		
