globalindex,lemma,lemmaindex,lleftcontext,lheadword,lrightcontext,gs_expert
-5,Spain,1,The weather in ,Spain ,is generally very hot in the summer.,LOC
-4,Japan,1,,Japan,takes a conservative turn to its tax policies.,ORG
-3,Australia,1,We are several time zones away from,Australia,.,LOC
-2,Italy,1,The reform that,Italy,suggest is unacceptable.,ORG
-1,Mexico,1,This kind of landscape is typical from,Mexico,and other dry areas.,LOC
0,Canada,1, ,Canada,s provincial tourist offices are conscientious and well worth consulting&#44even before you leave home . ,DOT
1,Germany,1, What marks Rheinfahrt 's activity in the Party and Government in ( East ),Germany,is the frequent criticisms and self-criticism he underwent . ,DOT
2,Afghanistan,1, Hage was a U . S . citizen who had worked with Bin Ladin in,Afghanistan,in the 1980 s&#44and in 1992 he went to Sudan to become one of al Qaeda 's major financial operatives . ,LOC
3,Boston,1, 1&#442 - 14 C polyethylene glycol ( MW 4000 Dalton ; 9 . 3 MBq / mmol&#44NEN Research Products &#44,Boston,&#44 MA )&#44a marker substance not subject to carrier-mediated transport and with a very low diffusion coefficient&#44was added to these solutions to account for 3 H- radiotracer in the adherent fluid . ,LOC
4,California,1, As part of a legal experiment&#44litigants without lawyers across,California,are using computerized video kiosks to prepare common court filings and seek basic legal advice . ,LOC
5,China,1, The Gansu Provincial Museum ( Sheng Bowuguan )&#44just across the street from the big Soviet-style Huaiyi Hotel&#44houses Silk Road treasures and perhaps the most famous sculpture in all of,China,&#44 the galloping Flying Horse of Gansu . ,LOC
6,Europe,1, Here you can see the original train that travelled on,Europe,s first continental underground railway in 1896 - it s hardly different to those on the current Millennium line . ,LOC
7,London,1, In,London,&#44 the conservative Daily Telegraph&#44which is normally hostile to Clinton&#44said in an editorial that the president should not step down until his guilt of either obstructing justice or suborning perjury &#34 has been demonstrated beyond a shadow of doubt . &#34 ,LOC
8,America,1, Time 's trend-spotting lead is &#34,America,'s Fascination with Buddhism &#34 ( a k a : an excuse to put Brad Pitt on the cover ) . ,ORG
9,Canada,2, Downtown&#44on Hollis Street&#44Province House&#44a dignified Georgian stone building ( 1819 )&#44boasts,Canada,s oldest legislative assembly&#44instigated by New England Loyalists . ,DOT
10,England,2, The guild takes many forms now&#44but it retains much of the Middle Ages&#44of the ecclesiastical Schoolmen&#44who gathered together in quasi-monastic colleges&#44behind walls that marked them off from the rest of the world ( a phenomenon that in,England,is still called town and gown ) . ,DOT
11,London,2, Also leading on the Chechen war&#44the Guardian of,London,reported&#44&#34 The damage the Chechen campaign is wreaking on Russia 's relations with the West was accentuated by criticism of the West by the Prime Minister&#44Vladimir Putin&#44while Javier Solana&#44the European Union security policy supremo and former Nato Secretary- General&#44said publicly that President Boris Yeltsin was not in his right mind . &#34 ,DOT
