HITId	HITTypeId	Title	Description	Keywords	Reward	CreationTime	MaxAssignments	RequesterAnnotation	AssignmentDurationInSeconds	AutoApprovalDelayInSeconds	Expiration	NumberOfSimilarHITs	LifetimeInSeconds	AssignmentId	WorkerId	AssignmentStatus	AcceptTime	SubmitTime	AutoApprovalTime	ApprovalTime	RejectionTime	RequesterFeedback	WorkTimeInSeconds	LifetimeApprovalRate	Last30DaysApprovalRate	Last7DaysApprovalRate	Input.globalindex	Input.lemma	Input.lemmaindex	Input.lleftcontext	Input.lheadword	Input.lrightcontext	Input.gs_expert	Answer.Category	Approve	Reject
2WQ06UFBNFSV3L8ELOWS06NHA66H3O	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2JG9Z6KW4ZMAM84Q906Q4ONO63RF6U	A1C0X3AM7X75R9	Submitted	Tue Apr 03 14:28:20 GMT 2012	Tue Apr 03 14:28:30 GMT 2012	Sun Apr 08 07:28:30 PDT 2012				10	0% (0/0)	0% (0/0)	0% (0/0)	195	Europe	26	- - &#34 The Sudetenland is the last territorial claim I have to make in	Europe	. &#34	LOC	Category1		
2WQ06UFBNFSV3L8ELOWS06NHA66H3O	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2OWEGDHDM25LV9WMHBXHIZ6PPG2DNT	A2T5CROJ0FWIJY	Submitted	Tue Apr 03 14:41:57 GMT 2012	Tue Apr 03 14:42:05 GMT 2012	Sun Apr 08 07:42:05 PDT 2012				8	0% (0/0)	0% (0/0)	0% (0/0)	195	Europe	26	- - &#34 The Sudetenland is the last territorial claim I have to make in	Europe	. &#34	LOC	Category1		
2WQ06UFBNFSV3L8ELOWS06NHA66H3O	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2Y3DDP8PJWKU04VW4QUQ79Z1MHQ6H3	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 13:13:42 GMT 2012	Tue Apr 03 13:13:52 GMT 2012	Sun Apr 08 06:13:52 PDT 2012				10	0% (0/0)	0% (0/0)	0% (0/0)	195	Europe	26	- - &#34 The Sudetenland is the last territorial claim I have to make in	Europe	. &#34	LOC	Category1		
2OZ57DZKPFE4170GV1T5P8IAWQB4EH	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			21Q0LWSBRI8IH2PXCOZJLSTMMFWD1K	A1BHMDRWW9ZYSO	Submitted	Tue Apr 03 14:33:10 GMT 2012	Tue Apr 03 14:33:16 GMT 2012	Sun Apr 08 07:33:16 PDT 2012				6	0% (0/0)	0% (0/0)	0% (0/0)	196	London	26	Which is why it 's surprising that the LAT commits the unclarity of saying that the earlier cease-fire &#34 ended without warning in February&#441996 with a	London	truck bomb that killed two people&#44&#34 without mentioning that the explosion was attributed to the IRA .	LOC	Category1		
2OZ57DZKPFE4170GV1T5P8IAWQB4EH	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2ORZ2MIKMN9UVGWXLNKW0XI435LQ9L	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 12:27:52 GMT 2012	Tue Apr 03 12:27:59 GMT 2012	Sun Apr 08 05:27:59 PDT 2012				7	0% (0/0)	0% (0/0)	0% (0/0)	196	London	26	Which is why it 's surprising that the LAT commits the unclarity of saying that the earlier cease-fire &#34 ended without warning in February&#441996 with a	London	truck bomb that killed two people&#44&#34 without mentioning that the explosion was attributed to the IRA .	LOC	Category1		
2OZ57DZKPFE4170GV1T5P8IAWQB4EH	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2UG2L92HECWATOQX6R3F4CP6V94IHU	A2T5CROJ0FWIJY	Submitted	Tue Apr 03 14:57:27 GMT 2012	Tue Apr 03 14:57:34 GMT 2012	Sun Apr 08 07:57:34 PDT 2012				7	0% (0/0)	0% (0/0)	0% (0/0)	196	London	26	Which is why it 's surprising that the LAT commits the unclarity of saying that the earlier cease-fire &#34 ended without warning in February&#441996 with a	London	truck bomb that killed two people&#44&#34 without mentioning that the explosion was attributed to the IRA .	LOC	Category1		
2J1ENLVWJ5OPYRLUYEZYQWB8NGO1TR	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			25CCJ011K2746YWJ8BX1CN47588CAN	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 12:59:31 GMT 2012	Tue Apr 03 12:59:39 GMT 2012	Sun Apr 08 05:59:39 PDT 2012				8	0% (0/0)	0% (0/0)	0% (0/0)	395	Boston	52	While a few organizations have what are perceived as &#34 best-of-breed &#34 information systems ( LDS Hospital and Intermountain Health Care in Salt Lake City&#44Wishard Memorial Hospital and its affiliated clinics in Indianapolis&#44and Brigham and Women 's Hospital and Partners HealthCare System in	Boston	&#44 MA )&#44[ 7 8 9 ] the reliability of these systems is nothing like that offered by the systems of companies outside of healthcare&#44for example Federal Express [ 10 ] . These organizations all have had good financial performance&#44which has given them an edge in their local markets&#44though their goal has not been to spread .	LOC	Category1		
2J1ENLVWJ5OPYRLUYEZYQWB8NGO1TR	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2GKK9RJ85OZIM54LSPGMSOQ6P8UV7S	AWRAXV1RIYR0M	Submitted	Tue Apr 03 13:59:04 GMT 2012	Tue Apr 03 13:59:10 GMT 2012	Sun Apr 08 06:59:10 PDT 2012				6	0% (0/0)	0% (0/0)	0% (0/0)	395	Boston	52	While a few organizations have what are perceived as &#34 best-of-breed &#34 information systems ( LDS Hospital and Intermountain Health Care in Salt Lake City&#44Wishard Memorial Hospital and its affiliated clinics in Indianapolis&#44and Brigham and Women 's Hospital and Partners HealthCare System in	Boston	&#44 MA )&#44[ 7 8 9 ] the reliability of these systems is nothing like that offered by the systems of companies outside of healthcare&#44for example Federal Express [ 10 ] . These organizations all have had good financial performance&#44which has given them an edge in their local markets&#44though their goal has not been to spread .	LOC	Category1		
2J1ENLVWJ5OPYRLUYEZYQWB8NGO1TR	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2SFMHGYQ4J3NX2TAX16FSYYJ4DUNAQ	A1C0X3AM7X75R9	Submitted	Tue Apr 03 13:39:56 GMT 2012	Tue Apr 03 13:40:06 GMT 2012	Sun Apr 08 06:40:06 PDT 2012				10	0% (0/0)	0% (0/0)	0% (0/0)	395	Boston	52	While a few organizations have what are perceived as &#34 best-of-breed &#34 information systems ( LDS Hospital and Intermountain Health Care in Salt Lake City&#44Wishard Memorial Hospital and its affiliated clinics in Indianapolis&#44and Brigham and Women 's Hospital and Partners HealthCare System in	Boston	&#44 MA )&#44[ 7 8 9 ] the reliability of these systems is nothing like that offered by the systems of companies outside of healthcare&#44for example Federal Express [ 10 ] . These organizations all have had good financial performance&#44which has given them an edge in their local markets&#44though their goal has not been to spread .	LOC	Category3		
2Z3KH1Q6SVQ84ZVL89XL9OBWL9GL2P	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:58 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:58 GMT 2012			20AHPCGJ2D21BUJ4FWRJTPSJDW3A4M	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 13:59:05 GMT 2012	Tue Apr 03 13:59:30 GMT 2012	Sun Apr 08 06:59:30 PDT 2012				25	0% (0/0)	0% (0/0)	0% (0/0)	396	England	52	The authors estimate that around 163&#44000 new cases of dementia occur in	England	and Wales each year .	LOC	Category1		
