HITId	WorkTimeInSeconds	Input.globalindex	Input.lemma	Input.lemmaindex	Input.lleftcontext	Input.lheadword	Input.lrightcontext	Input.gs_expert	Answer.Category
2VTDPGFL6VCPJQWQ5SNISV1TPYX5K5	6	-5	examination	0	The doctor's	examination	of the patient was successful.	PROC	Category1
2VTDPGFL6VCPJQWQ5SNISV1TPYX5K5	17	-5	examination	0	The doctor's	examination	of the patient was successful.	PROC	Category1
2VTDPGFL6VCPJQWQ5SNISV1TPYX5K5	96	-5	examination	0	The doctor's	examination	of the patient was successful.	PROC	Category1
2VTDPGFL6VCPJQWQ5SNISV1TPYX5K5	4	-5	examination	0	The doctor's	examination	of the patient was successful.	PROC	Category1
2VTDPGFL6VCPJQWQ5SNISV1TPYX5K5	4	-5	examination	0	The doctor's	examination	of the patient was successful.	PROC	Category1
2J1E1M7PKK9LENTNHP308LZY7RISZG	3	-4	exam	0	The	exam	was long.	PROC	Categpory2
2J1E1M7PKK9LENTNHP308LZY7RISZG	25	-4	exam	0	The	exam	was long.	PROC	Category1
2J1E1M7PKK9LENTNHP308LZY7RISZG	7	-4	exam	0	The	exam	was long.	PROC	Category3
2J1E1M7PKK9LENTNHP308LZY7RISZG	6	-4	exam	0	The	exam	was long.	PROC	Categpory2
2J1E1M7PKK9LENTNHP308LZY7RISZG	72	-4	exam	0	The	exam	was long.	PROC	Category1
24NF3Q0JG5TY9EZVGQV9J9STAN7IE8	5	-3	exam	0	The	exam	was on the table.	RES	Categpory2
24NF3Q0JG5TY9EZVGQV9J9STAN7IE8	5	-3	exam	0	The	exam	was on the table.	RES	Categpory2
24NF3Q0JG5TY9EZVGQV9J9STAN7IE8	7	-3	exam	0	The	exam	was on the table.	RES	Categpory2
24NF3Q0JG5TY9EZVGQV9J9STAN7IE8	93	-3	exam	0	The	exam	was on the table.	RES	Category1
24NF3Q0JG5TY9EZVGQV9J9STAN7IE8	7	-3	exam	0	The	exam	was on the table.	RES	Category1
2DABRI8IUB2YH0VIZ7KLF3L1XHSH5C	13	-2	development	0	The	development	was applauded.	PROC	Categpory2
2DABRI8IUB2YH0VIZ7KLF3L1XHSH5C	3	-2	development	0	The	development	was applauded.	PROC	Categpory2
2DABRI8IUB2YH0VIZ7KLF3L1XHSH5C	77	-2	development	0	The	development	was applauded.	PROC	Category1
2DABRI8IUB2YH0VIZ7KLF3L1XHSH5C	6	-2	development	0	The	development	was applauded.	PROC	Categpory2
2DABRI8IUB2YH0VIZ7KLF3L1XHSH5C	10	-2	development	0	The	development	was applauded.	PROC	Category3
2VHZ2MIKMN9UVGWXLNKW0XI4A08Q99	2491	-1	destruction	0	The enemy's	destruction	of the city was awful to watch.	PROC	Category1
2VHZ2MIKMN9UVGWXLNKW0XI4A08Q99	83	-1	destruction	0	The enemy's	destruction	of the city was awful to watch.	PROC	Category1
2VHZ2MIKMN9UVGWXLNKW0XI4A08Q99	7	-1	destruction	0	The enemy's	destruction	of the city was awful to watch.	PROC	Category1
